title,text,link
Планировщик задач и плагин для экономии: Google назвала лучшие расширения для Chrome в 2024 году,"Компания Google подвела итоги года, назвав самые популярные и полезные расширения для Chrome, которые помогают пользователям быть продуктивнее, организовывать свои задачи, экономить деньги и персонализировать браузер. Эти инструменты заслужили признание благодаря своей эффективности и удобству использования.Для тех, кто хочет улучшить свою продуктивность, Google рекомендует обратить внимание на Todoist, который помогает управлять приоритетами и задачами, и Evernote Web Clipper, позволяющий сохранять интересные статьи и страницы для чтения позже. Bardeen AI оптимизирует работу с веб-приложениями, автоматизируя повторяющиеся действия, а Momentum предоставляет кастомизируемые инструменты для создания удобного рабочего пространства в браузере.Некоторые расширения облегчают рутинные процессы: Text Blaze позволяет создавать текстовые шаблоны для часто повторяющихся фраз, а Immersive Translate мгновенно переводит страницы, PDF-документы и даже видео.Для комфортного отдыха Google выделяет Volume Master, который увеличивает громкость до 600% и улучшает управление звуком, и Turn Off the Lights, создающий эффект домашнего кинотеатра за счёт затемнения всех элементов страницы, кроме видеоплеера.Предпочитающим экономить на онлайн-покупках Google рекомендует CouponBirds, который автоматически находит и применяет купоны, а также Keepa, добавляющий графики цен на Amazon и уведомляющий о снижении стоимости товаров.Тем, кто хочет придать браузеру больше индивидуальности, понравится Stylish, позволяющий создавать уникальные стили оформления для сайтов. А ещё в список попала Ice Dodo — динамичная 3D-игра, в которую можно играть прямо в Chrome.Google подчёркивает, что эти расширения не только экономят время и деньги, но и помогают сделать использование браузера комфортным и увлекательным.
        Новости из мира технологий
       
        🧐
       
          Duolingo и Netflix объединились, чтобы научить фанатов «Игры в кальмара» корейскому языку
        
          Microsoft всё-таки разрешила устанавливать Windows 11 на неподдерживаемые ПК
        
          «Головоломка-2» и олимпийские маффины: Google назвала топ запросов в 2024 году",https://lifehacker.ru/luchshie-rasshireniya-chrome-2024/
"Duolingo и Netflix объединились, чтобы научить фанатов «Игры в кальмара» корейскому языку","Netflix и Duolingo представили совместный проект, приуроченный к премьере второго сезона «Игры в кальмара». Теперь фанаты шоу смогут выучить корейский язык с помощью уроков, вдохновлённых популярным сериалом, в приложении Duolingo. Кроме того, был выпущен эксклюзивный фильтр для TikTok, основанный на игре «Красный свет, зелёный свет».Изображение: DuolingoВ рамках проекта в Duolingo добавили более 40 новых слов и выражений, связанных с сериалом, включая «дальгона» — сладкое угощение из третьей серии первого сезона. Уроки также включают фразы, такие как «Не доверяй никому», «Давай сыграем в игру» и «Ты выбыл». Эти элементы органично вплетены в стандартные уроки корейского языка.По словам директора по маркетингу Duolingo Ману Орссо, сериал уже вызвал огромный интерес к корейскому языку, увеличив число изучающих его людей на 40% после выхода первого сезона. Сейчас «Игра в кальмара» может похвастаться 330 миллионами зрителей и более 2,8 миллиарда часов просмотров.Специальный фильтр для TikTok добавляет обучению интерактивности. Пользователи смогут проверить свои знания корейского в голосовых заданиях, где нужно правильно произносить фразы, чтобы победить в игре «Красный свет, зелёный свет». Фильтр сопровождает талисман Duolingo — совёнок Дуо, наряженный в розовый костюм охранника.Изображение: DuolingoNetflix также организует серию мероприятий для продвижения второго сезона. Среди них гонка в Лос-Анджелесе, победители которой получат приглашение на премьеру в США. Также в некоторых городах, включая Нью-Йорк, Мадрид, Сеул и Сидней, запустили интерактивный проект Squid Game: The Experience, где фанаты могут попробовать свои силы в играх из сериала.
        Больше интересных новостей
       
        🧐
       
          Анджела Уайт, Харли Квинн и Шрек: Pornhub подвёл итоги 2024 года
        
          Властелина, Грач и Люцифер: названы самые необычные и популярные имена у новорождённых москвичей в 2024 году
        
          Юра Борисов и Наоми Скотт: IndieWire назвал 25 прорывных ролей в сериалах и фильмах 2024 года",https://lifehacker.ru/igra-v-kalmara-v-duolingo/
"Как выбрать пауэрбанк для смартфона, ноутбука и других устройств","Оглавление  
            Определитесь с ёмкостью 
          
            Убедитесь, что будет работать быстрая зарядка
          
            Предусмотрите возможность зарядки ноутбуков и планшетов
          
            Проверьте, как быстро заряжается сам пауэрбанк
          
            Проверьте разъёмы
          
            Узнайте про дополнительные опции
          
            Подберите подходящую модель
            Оглавление   
            Определитесь с ёмкостью 
          
            Убедитесь, что будет работать быстрая зарядка
          
            Предусмотрите возможность зарядки ноутбуков и планшетов
          
            Проверьте, как быстро заряжается сам пауэрбанк
          
            Проверьте разъёмы
          
            Узнайте про дополнительные опции
          
            Подберите подходящую модель
           Определитесь с ёмкостью Важнейшим параметром внешнего аккумулятора является его ёмкость, которую производитель обычно указывает в миллиампер‑часах (мА⋅ч). Грубо говоря, это количество энергии, которую может хранить (но не передавать) пауэрбанк.Обратите внимание: никакой внешний аккумулятор не может передать 100% хранимой энергии. Часть ресурса всегда теряется при преобразовании напряжения, а некоторое количество уходит в тепло. Кроме того, заявленная ёмкость часто бывает завышена. Рассказываем, на какие параметры смотреть, чтобы выбрать устройство с подходящей ёмкостью.Изображение: RomossRated capacity и Cell capacityУстанавливаемые в пауэрбанки стандартные элементы обычно имеют напряжение в 3,7 В. Именно их суммарную ёмкость приводит производитель на коробке. Этот показатель называется Cell capacity (ёмкость элементов). Вот только гаджету с питанием от USB нужно хотя бы 5 В. Что произойдёт, если преобразовать 3,7 В в 5? Показатель 10 000 мА⋅ч при напряжении 3,7 В грубо означает, что аккумулятор выдаёт 37 Вт в течение часа. Запас мощности, хранимый в аккумуляторе, сам по себе увеличиться не может, так что при потреблении 5 вольтами останется тот же. Но вот ёмкость значительно уменьшится: 37 / 5 = 7,2 А⋅ч = 7 200 мА⋅ч.Честные производители указывают реальную, приведённую к 5 В, мощность где-нибудь в документации или мелким шрифтом на коробке. Она называется Rated capacity и практически всегда меньше, чем указанная на коробке. Но именно на неё и следует ориентироваться.Изображение: XiaomiВспоминаем про потери при передаче электроэнергии — они могут составлять до 10%. Кроме того, контроллер пауэрбанка не допустит полного разряда своего аккумулятора — это очень вредно для литиевых элементов. И когда заряд упадёт до 3–5%, зарядка прекратится. Вот и получается, что пауэрбанк с заявленной ёмкостью в 10 000 мА⋅ч на практике передаст примерно 6 000 реальных мА⋅ч, то есть полностью зарядит смартфон с аккумулятором на 2 500 мА⋅ч не четыре раза, а только два. Малоизвестные производители нередко завышают ёмкость в 2–3 раза без указания реальных значений. Они прекрасно знают, что покупатель смотрит в первую очередь на этот показатель, а проверить его в магазине практически невозможно. Так что если вам важен определённый резерв ёмкости, то следует выбирать устройства от более-менее известных брендов и читать отзывы.Возможность брать в самолётВыбирая мощный пауэрбанк, следует помнить о том, что у всех авиакомпаний есть ограничения на перевозку аккумуляторов. Во-первых, перевозить их можно только в ручной клади. Во-вторых, не всякий пауэрбанк можно взять и в ручную кладь. Так, без согласования с авиакомпанией можно перевозить только устройства с удельной мощностью до 100 Вт∙ч. Для 5 В это всего-навсего 20 000 мА∙ч. И тут маркетинговые уловки производителей могут сработать против вас. Скорее всего, в аэропорту не будут разбираться, какова реальная ёмкость пауэрбанка, если на его корпусе написано 25 000 мА∙ч. Кстати, пауэрбанки с удельной мощностью более 160 Вт∙ч в самолёте перевозить запрещено совсем — и багажом, и ручной кладью. Для 5 В это соответствует 32 000 мА∙ч.Пауэрбанки с разной ёмкостью:Пауэрбанк Ugreen PB502 с ёмкостью 10 000 мА∙ч, от 3 165 рублей → Пауэрбанк Redmi Power с ёмкостью 20 000 мА∙ч, от 1 574 рублей → Пауэрбанк Baseus 30 000 мА∙ч, от 2 645 рублей → Убедитесь, что будет работать быстрая зарядкаБыстрая зарядка — это спасение в мире, в котором всегда не хватает времени. Но не каждый пауэрбанк способен её обеспечить. Разбираемся, как это проверить.МощностьИзображение: RomossВ первую очередь надо убедиться, что пауэрбанк способен выдать мощность, потребляемую вашим гаджетом при быстрой зарядке. Проще всего это узнать, посмотрев на штатную зарядку. Там наверняка будет написано что-то вроде 11 V = 3 A Max / 33 W Max. Это означает, что максимальная мощность, выдаваемая зарядным устройством, равна 33 Вт. Чтобы пауэрбанк заряжал ваш гаджет не медленнее штатной зарядки, у него должна быть не меньшая максимальная мощность. Если в характеристиках этот показатель не указан, мощность можно узнать, умножив максимальный выходной ток на предельное выходное напряжение. Например, при максимальном выходном токе в 5 А и максимальном напряжении 12 В мощность будет составлять 5 × 12 = 60 Вт. Не нужно бояться, если выходная сила тока внешнего аккумулятора выше той, на которую рассчитаны ваши гаджеты, например 2 А у пауэрбанка и 1 А у смартфона. Любая современная аккумуляторная техника имеет встроенные средства защиты, ограничивающие значение поступающего тока до приемлемого. Проще говоря, ваш гаджет не взорвётся и не расплавится.Имейте в виду: штатная зарядка не всегда даёт максимальную мощность. Возможно, ваш гаджет может заряжаться ещё быстрее. Если вы не уверены, поищите параметры быстрой зарядки вашего устройства на сайтах производителя или магазинов.Поддержка протоколов быстрой зарядкиПодходящая мощность ещё не гарантия быстрой зарядки. По умолчанию любое зарядное устройство выдаёт на порт USB напряжение 5 В, чего для быстрой подпитки недостаточно. Но прежде чем переключиться на повышенное напряжение, зарядка «договаривается» с гаджетом о параметрах. И если они не будут говорить на одном языке, подпитка так и останется работать на 5 В. Поэтому оба устройства должны поддерживать один протокол быстрой зарядки — тот самый «язык». Если ваш смартфон поддерживает один стандарт, а пауэрбанк другой, быстрой зарядки не будет. Убедитесь, что ваш гаджет и выбранный пауэрбанк смогут «договориться».Желательно, чтобы пауэрбанк поддерживал последние версии наиболее распространённых протоколов:Power Delivery (PD) — перспективный универсальный стандарт. Подходит для многих смартфонов, планшетов, ноутбуков.  Quick Charge (QC) — распространённый протокол многих Android-устройств. Начиная с версии 4.0, совместим с Power Delivery.  Apple Fast Charge — протокол быстрой зарядки «яблочных» устройств. Совместим с Power Delivery.  Поддержки перечисленных стандартов хватит для быстрой зарядки почти всех гаджетов. Есть и другие протоколы, но большинство из них совместимо либо с QC, либо с PD. Однако некоторые производители идут своим путём. Например, на смартфонах Oppo и OnePlus используются оригинальные стандарты Oppo Vooc и Dash Charge. Для их быстрой зарядки на максимуме пауэрбанк должен поддерживать именно эти протоколы.Пауэрбанки с разной мощностью и возможностями зарядки:Пауэрбанк COMMO AEON 20 000 мА∙ч, 35 Вт, от 3 313 рублей → Пауэрбанк Xiaomi Mi Power Bank 3 20 000 мА∙ч, 50 Вт, от 2 159 рублей → Пауэрбанк ZMI 10 PRO 20 000 мА∙ч, 65 Вт, от 7 316 рублей → Предусмотрите возможность зарядки ноутбуков и планшетовИзображение: AnkerНе все пауэрбанки подходят для таких устройств, так как они требуют больше энергии и напряжения в 5 В для них недостаточно. Если планируете заряжать ноутбук или планшет, узнайте, какое напряжение и ток необходимы для их подпитки. Эту информацию можно найти на штатной зарядке гаджетов. Требования по питанию ноутбуков обычно приведены на корпусе снизу. Выбранный пауэрбанк должен иметь максимальные выходное напряжение и ток не ниже, чем требуется вашему гаджету. Это может быть до 20 В и до 5 А. Например, если на корпусе ноутбука написано Input: 20 V 3,5 A, то максимальные выходное напряжение и ток пауэрбанка должны быть не ниже. Выше — можно. Проверьте, как быстро заряжается сам пауэрбанкМощный пауэрбанк с большой ёмкостью может заряжаться целую ночь, если не поддерживает быструю зарядку. При покупке устройства посмотрите на его время подпитки. Особенно это важно для внешних аккумуляторов ёмкостью от 20 000 мА∙ч: без быстрой зарядки они могут заряжаться часов 10–12, а то и больше. Правда, производители не всегда указывают эту информацию. В этом случае можно оценить время зарядки по другим параметрам — входному току и напряжению.Входной ток и входное напряжениеВходной разъём современных пауэрбанков — тот же USB, поэтому смотреть надо примерно на те же данные, что и в случае с быстрой зарядкой других гаджетов. Чем больше входной ток и входное напряжение, тем быстрее он сможет подпитываться. Но при этом устройство, от которого питается внешний аккумулятор, и сам пауэрбанк должны поддерживать один протокол быстрой зарядки.Пауэрбанки с большой ёмкостью, мощностью и малым временем зарядки:Пауэрбанк Anker Prime 20 000 мА∙ч, 200 Вт, время зарядки 1 час, от 14 444 рублей → Пауэрбанк ZMI QB826 25 000 мА∙ч, 210 Вт, время зарядки 2 часа, от 8 454 рублей → Пауэрбанк Ugreen PB720 20 000 мА∙ч, 100 Вт, время зарядки 2 часа, от 5 810 рублей → Проверьте разъёмыУ многих пауэрбанков кабели для зарядки устройств идут в комплекте, но использовать их рекомендуется только в том случае, если вы уверены в производителе. Некачественный кабель может привести к сильному снижению скорости зарядки и даже к повреждению гаджетов. Для зарядки устройств лучше использовать их родной кабель. Соответственно, выходные разъёмы пауэрбанка должны соответствовать вашим приборам.Выходные разъёмы и их количествоИзображение: AnkerОриентируйтесь на следующие варианты:USB Type-A — универсальный разъём. Он до сих пор используется на большинстве блоков питания. USB Type-C — современный разъём, всё чаще встречающийся на мощных современных блоках питания.  Чем больше выходных разъёмов, тем больше устройств можно одновременно подключить для зарядки. Но нужно понимать, что общая выходная сила тока пауэрбанка ограничена. Например, если максимальный выходной ток устройства 4 А и на нём есть два разъёма, то при подключении сразу нескольких устройств каждое из них сможет получать максимум 2 А.Входные разъёмыДля подключения к зарядке самого пауэрбанка лучше использовать тот кабель, что идёт с ним в комплекте. Если же его нет, то лучше подобрать девайс с распространённым входным разъёмом. На что ориентироваться:USB Type-A — в качестве приёмного для питания практически не используется.  Micro USB и mini USB — такие разъёмы для зарядки использовались на гаджетах прошлых лет. Зато при использовании micro USB или mini USB вы не перепутаете входной разъём с выходным. USB Type-C — оптимальный вариант на сегодняшний день. Узнайте про дополнительные опцииДополнительные опции упрощают использование пауэрбанка и расширяют его возможности. Дисплей или индикатор зарядаИзображение: BaseusДисплей показывает оставшуюся ёмкость пауэрбанка в процентах, а индикатор — только примерный уровень. Для точности данных лучше выбирать модели с дисплеем. Беспроводная зарядкаЕсли ваш смартфон поддерживает стандарт беспроводной зарядки Qi, то внешний аккумулятор с этой опцией избавит вас от проводов. Учтите, что такая подпитка потребляет больше энергии и происходит медленнее. Кроме того, во время зарядки смартфон и пауэрбанк могут нагреваться, а перегрев очень вреден литийионным аккумуляторам. Некоторые производители устанавливают в девайсы некачественные катушки быстрой зарядки, их использование может привести к деградации внешнего аккумулятора и даже испортить смартфон. Поэтому почитайте отзывы на пауэрбанк перед покупкой: если многие покупатели жалуются на сильный нагрев при беспроводной зарядке, от такой модели лучше отказаться.Слаботочный режимОн предназначен для зарядки мелких гаджетов: умных часов, фитнес-браслетов, наушников. При зарядке они потребляют малый ток. В обычном режиме пауэрбанк может не работать с такими устройствами — контроллер будет считать, что ток низок из-за того, что подключённое устройство почти полностью заряжено, и отключит питание.Пауэрбанки с дополнительными опциями:Пауэрбанк Ugreen PB561 с магнитной Qi-зарядкой, 10 000 мА∙ч, 20 Вт, от 3 230 рублей → Пауэрбанк Anker MagGo Power Bank с экраном и Qi-зарядкой, 10 000 мА∙ч, 27 Вт, от 8 835 рублей → Пауэрбанк Redmi Fast Charge со слаботочным режимом, 20 000 мА∙ч, 18 Вт, от 1 475 рублей → ФонарикПолезная опция для туристов, может пригодиться в походе или при выезде на природу, чтобы пауэрбанк не потерялся в темноте и было удобнее заряжать гаджеты. Дома фонарик в этом девайсе вряд ли понадобится.Солнечная батарея Некоторые модели оснащаются солнечной батареей, способной подзаряжать аккумулятор на солнце. Однако такая подпитка происходит очень медленно. Солнечная батарея пауэрбанка выдаёт около 100 мА в яркий солнечный день. Чтобы накопить заряд, достаточный для подпитки среднего смартфона, устройству придётся лежать прямо под солнцем несколько дней. Впрочем, эта опция пригодится, чтобы зарядить смартфон на 1–2 звонка в критической ситуации.Влагозащита и прочность корпусаЕсли пауэрбанк будет использоваться в сложных условиях, например на природе, влагозащита и прочный корпус наверняка пригодятся. Но учтите, что по-настоящему качественных моделей с защитой от воды на рынке немного. Подберите подходящую модельПри выборе устройства подумайте, для зарядки каких гаджетов и где вы чаще всего будете его использовать. В зависимости от того, собираетесь вы носить пауэрбанк в кармане, возить с собой на природу или брать в путешествия, нужно смотреть на разные параметры.Для зарядки смартфона на всякий случайBaseus Bipow Digital DisplayТут за большой ёмкостью гнаться незачем. Вполне подойдёт компактный пауэрбанк на 5 000–10 000 мА∙ч. Он недорогой, лёгкий и удобный — поместится в кармане куртки. Пауэрбанк Xiaomi Мi Ultra-thin power bank PB0520MI 5 000 мА∙ч, 20 Вт, от 2 681 рубля → Пауэрбанк Baseus Bipow Digital Display 10 000 мА∙ч, 15 Вт, от 2 118 рублей → Пауэрбанк COMMO AEON 10 000 мА∙ч, 20 Вт, от 2 067 рублей → Для выездов на природуTopON TOP-X38 PROЗдесь дополнительный запас ёмкости не помешает. Ищите пауэрбанк от 20 000 мА∙ч — реальных, а не просто указанных на коробке. Фонарик тоже не будет лишним. А вот на солнечную батарею, хоть она и может выручить в сложной ситуации, сильно полагаться не стоит. Хорошо, если у пауэрбанка будет влагозащита. Пауэрбанк TopON TOP-X38 PRO с влагозащитой, 38 000 мА∙ч, от 16 660 рублей → Пауэрбанк Hoco J110 Powerful с фонарём, 60 000 мА∙ч, от 4 949 рублей → Пауэрбанк Borofone DBT17 с фонариком и солнечной батареей, 30 000 мА∙ч, от 3 995 рублей → Для тех, кто часто летает на самолётеXiaomi ROCK Travel Series P90Пауэрбанки с ёмкостью более 20 000 мА∙ч могут вызвать вопросы в аэропорту. А при ёмкости от 32 000 мА∙ч их вообще нельзя перевозить в самолёте. Поэтому выбирайте среди моделей на 15 000–20 000 мА∙ч.Пауэрбанк Baseus Magnetic Mini с беспроводной зарядкой, 10 000 мА∙ч, 20 Вт, от 2 365 рублей → Пауэрбанк Xiaomi ROCK Travel Series P90 с беспроводной зарядкой, 10 000 мА∙ч, 20 Вт, от 2 336 рублей → Пауэрбанк Anker Prime, 12 000 мА∙ч, 130 Вт, от 8 929 рублей → Для зарядки ноутбуков и планшетовUgreen PB205Для ноутбуков и планшетов потребуется серьёзный пауэрбанк с мощностью от 65 Вт, ёмкостью 20 000+ мА∙ч, разъёмом USB Type-C и поддержкой протокола быстрой зарядки Power Delivery. Пауэрбанк Ugreen PB205, 25 000 мА∙ч, 145 Вт, от 5 648 рублей → Пауэрбанк ZMI QB826 25 000 мА∙ч, 210 Вт, от 8 027 рублей → Пауэрбанк Baseus BLADE Power Digital Display 20 000 мА∙ч, 100 Вт, от 1 908 рублей →  Этот материал был впервые опубликован в июне 2017 года. В декабре 2024-го мы обновили текст. 
        Помогаем выбирать классные гаджеты себе и на подарки
       
        🎄🎁
       
          Как выбрать ноутбук и не прогадать
        
          Как выбрать планшет: инструкция для тех, кто не хочет ошибиться
        
          6 умных браслетов до 6 000 рублей для подарка на Новый год
        
          Как выбрать видеокарту: всё, что нужно знать до покупки
        
          10 отличных умных весов, которые стоит купить в 2024 году",https://lifehacker.ru/kak-vybrat-power-bank/
Microsoft всё-таки разрешила устанавливать Windows 11 на неподдерживаемые ПК,"В октябре следующего года заканчивается поддержка Windows 10, и Microsoft настоятельно рекомендует пользователям перейти на Windows 11. Компания даже опубликовала инструкцию по официальной установке актуальной операционной системы на компьютеры, которые не соответствуют минимальным требованиям. Однако с уточнением, что она не рекомендует этого делать.Для проверки совместимости вашего устройства можно использовать приложение «Проверка работоспособности ПК». Независимо от результата, у вас всё равно будет возможность установить операционную систему. Однако важно помнить, что это сопряжено с определёнными рисками.Например, система может работать нестабильно. На странице поддержки также указано, что после выполнения этой операции ОС может перестать получать обновления, включая патчи безопасности. А если ваш компьютер получит какие-либо повреждения, то исправить их по гарантии уже не получится.Кроме того, на рабочем столе появится водяной знак, а в настройках может отображаться уведомление, что требования не соблюдены.Если после установки Windows 11 у вас возникли серьёзные проблемы, Microsoft советует вернуться к «десятке». Для этого перейдите в «Настройки», выберите раздел «Система» и нажмите пункт «Восстановление». Потом нужно следовать инструкции.С ноября 2025 года поддержка Windows 10 станет платной. Ранее компания назвала цены обновлений.
        Полезное для пользователей Windows 11
       
        🖥
       
          13 вещей, которые нужно сделать после установки Windows 11
        
          Windows 11 начнёт группировать приложения в «Пуске» — как в iPadOS
        
          Microsoft выпустила новую версию Windows 11 — её можно скачать бесплатно",https://lifehacker.ru/ustanovka-windows-11-na-staryi-pk/
Xiaomi собирается решить проблему несовместимости Apple Watch с Android-смартфонами,"Apple Watch не поддерживаются на Android-смартфонах, что вынуждает людей, желающие иметь «яблочные» умные часы, либо покупать iPhone, либо использовать их отдельно от телефона. Однако ситуация может измениться благодаря Xiaomi.По данным известного искателя утечек Digital Chat Station, компания работает над полноценной совместимостью своих устройств с Apple Watch, AirPods и HomePod. Как именно это будет реализовано, пока неизвестно. Не исключено, что через какое-то новое приложение. Возможности такой интеграции тоже остаются загадкой, но, вероятно, мы увидим быстрый обмен данными о здоровье и фитнесе и отображение уведомлений.Недавно Xiaomi представила в Китае свою флагманскую линейку смартфонов Xiaomi 15, которые уже могут взаимодействовать с Mac, iPhone и iPad. Например, у их пользователей есть возможность зеркально отображать экран телефона на Mac, просматривать документы iWork и обмениваться файлами с девайсами купертинцев.Ранее Oppo и OnePlus анонсировали новый способ локального обмена контентом с iPhone. Эта функция встроена в телефоны этих производителей, но она работает только при наличии специального приложения на смартфонах Apple.
        Новости из мира технологий
       
        🤔
       
          Apple готовит MacBook Pro с OLED-экраном без «чёлки»
        
          В Сети появился ИИ-фильтр, который превратит вас в героя «Аркейна»
        
          Представлен Drop — нагрудный гаджет, который распознаёт блюда и считает калории за вас",https://lifehacker.ru/sovmestimost-apple-watch-s-android/
Представлен ‭«карманный» ноутбук GPD Win Max 2 2025 с большим сенсорным экраном,"Компания GPD выпустила компактный ноутбук Win Max 2 2025, ориентированный на геймеров. Устройство отличается большим экраном и мощным процессором.Корпус новинки выполнен из алюминиево-магниевого сплава. Она получила сенсорный 10,1-дюймовый дисплей с разрешением 1080p и частотой обновления 120 Гц. Изображение: GPDВнутри устройства установлен мощный процессор AMD Ryzen AI HX 370 Strix Point, который дополнен 64 ГБ оперативной памяти LPDDR5X-7500. Для хранения данных предусмотрены два слота M.2 с портом 2280, что позволяет установить до двух твердотельных накопителей ёмкостью до 2 ТБ. Один из слотов скрыт внутри корпуса, а второй — за небольшой крышкой на задней панели.Изображение: GPDКомпания GPD также предусмотрела возможность подключения модуля 4G LTE для доступа в интернет, разъём OCulink для внешних видеокарт, два порта USB4 для устройств, которым требуется Thunderbolt 3/4, поддержку карт SD и microSD, а также аудиопорты с обеих сторон ноутбука. Ещё есть Wi-Fi 6E и Bluetooth 5.3.За автономность отвечает аккумулятор ёмкостью 67 Вт·ч, которого, по словам производителя, хватает примерно на 2,5 часа интенсивного гейминга и на 6-9 часов при менее активном использовании. Изображение: GPDНоутбук GPD Win Max 2 2025 уже доступен для предзаказа на IndieGoGo. Цена — 1 462 долларов (≈145 300 рублей).
        Больше классных новинок
       
        🤔
       
          Xiaomi показала свой первый кроссовер YU7, похожий на Ferrari Purosangue
        
          Представлен Drop — нагрудный гаджет, который распознаёт блюда и считает калории за вас
        
          Xiaomi представила стиральную машину для носков и другой мелочи — с сушкой и стерилизацией",https://lifehacker.ru/anons-gpd-win-max-2-2025/
На «Кинопоиске» стали доступны персональные итоги года,"На «Кинопоиске» появились итоги года, которые позволят узнать свою статистику просмотренных фильмов и сериалов, количество поставленных оценок и купленных билетов в кино, а также любимые проекты, жанры и команды в спортивном разделе. На основе предпочтений пользователей распределили по 12 «домам». Например, «Дом великого Ахахана» объединяет фанатов комедий, а «Дом драконов и подземелий» — поклонников фэнтези. Есть «дома» для любителей фантастики, фильмов ужасов, драм и спорта. «Дом аскетичных рыцарей» предназначен для подписчиков с нетипичными вкусами, которые выбирают фильмы и сериалы на стыке жанров, трендов и интересов мейнстрима.Изображение: «Кинопоиск»Изображение: «Кинопоиск» Изображение: «Кинопоиск» В конце итогов — пятёрка самых ожидаемых проектов 2025 года, собранная на основе того, что пользователи чаще всего добавляли в папку «Буду смотреть». Среди них — третий сезон «Метода» и полнометражный фильм «Король и Шут. Навсегда».Количество карточек у разных пользователей отличается и зависит от персональной статистики. Для «жителей» каждого из 12 «домов» редакция «Кинопоиска» подготовила тематические подборки фильмов и сериалов. Итоги года доступны на сайте и в мобильном приложении.
        Новости кино
       
        🎬
       
          Вышел трейлер «28 лет спустя» — новой части фильма Дэнни Бойла про зомби-апокалипсис
        
          Крис Эванс может вернуться в киновселенную Marvel — но не в роли Капитана Америки
        
          Спуск в ад: вышел трейлер боевика «Ущелье» с Аней Тейлор-Джой",https://lifehacker.ru/kinopoisk-itogi-goda-2024/
